neigh_name,total_liv_score,edmonton_rank,alberta_rank,percent_rank,ammenities_grade,cost_of_living_percent,crime_rate,median_income,in_labor_force,unemployment_rate,median_house_val,home_owner_percent,high_school_percent,bach_degree,test_scores,area_pop,pop_dense,med_age,marri_coup,fam_w_kids,eng_only,french_only
central mcdougall,71,227,599,70,15,86,9352,42918,67,8,206177,15,78,24,61,5305,4779,35,56,36,88.9,0.2
kilkenny,70,230,605,70,15,86,7661,72571,63,6,275364,61,77,12,63,5963,3469,36,62,43,90.3,0.3
ekota,70,231,606,70,15,87,7039,83328,66,8,301504,66,83,20,62,2804,3486,36,69,46,91.2,0.1
daly grove,70,233,610,70,15,87,6905,90801,66,5,286199,66,83,18,62,3898,4201,37,69,49,91.9,0.1
fulton place,69,234,614,69,15,90,6083,97986,71,5,349190,82,88,28,64,2381,2426,42,69,40,92.6,0.0
kenilworth,70,235,619,69,15,89,6879,83485,66,4,318766,78,83,20,65,2597,2244,47,68,35,88.4,0.6
baturyn,70,236,620,69,15,86,7190,85970,58,5,273836,75,82,14,65,5267,3682,38,66,44,91.9,0.1
gold bar,69,238,622,69,15,90,6067,99526,76,8,344679,72,86,18,64,2955,2760,39,63,41,91.9,0.0
wild rose,69,239,623,69,15,91,5109,118926,67,4,373372,87,82,22,66,8977,5418,36,84,62,89.5,0.1
york,70,241,627,68,15,86,7340,84519,67,5,262882,58,78,13,63,4173,3550,37,62,39,92.0,0.1
caernarvon,70,242,629,68,15,85,7799,74829,67,5,250789,73,82,18,63,4502,3767,36,62,40,92.2,0.1
hazeldean,69,245,636,68,15,90,6706,82620,79,5,341681,58,88,27,64,3423,3114,37,54,36,89.0,0.1
weinlos,70,246,637,68,15,87,7426,78912,71,6,276077,69,84,20,64,3518,3879,38,71,47,91.3,0.1
queen alexandra,69,247,640,68,15,90,7627,53856,78,6,355046,24,93,49,71,5440,4389,33,52,23,86.5,0.1
ormsby place,69,248,643,68,15,88,6411,93469,70,4,330725,73,86,25,52,5965,4321,37,66,48,92.4,0.2
lorelei,69,249,647,67,15,87,7124,81799,60,4,298173,71,79,15,62,4394,3654,36,68,47,90.3,0.5
carlisle,69,250,648,67,15,87,7540,72854,68,7,287810,60,77,14,62,4118,4363,34,64,46,92.4,0.2
sakaw,69,252,654,67,15,87,6932,88859,67,7,291084,75,84,19,61,4244,3846,37,69,45,91.0,0.1
glengarry,70,253,655,67,15,85,8093,69709,67,7,238581,72,80,12,60,3257,2405,41,63,38,93.0,0.2
evansdale,69,254,659,66,15,87,7680,64973,59,5,304085,57,75,13,60,5987,3740,35,65,43,90.2,0.2
rundle heights,69,255,662,66,15,86,8349,58251,59,8,256383,46,75,13,70,3699,4398,33,50,34,90.9,0.4
britannia youngstown,69,258,670,65,15,86,8416,55835,72,6,258653,40,79,16,61,5369,3206,37,55,38,91.9,0.4
duggan,68,259,679,64,15,88,6631,91930,69,5,312281,69,88,37,60,4783,3746,37,73,45,90.0,0.2
kameyosek,69,260,685,64,15,85,7815,73393,59,6,254801,56,79,22,60,3176,3972,36,64,44,90.2,0.3
calder,69,262,693,64,15,84,8180,68064,71,8,235574,56,80,10,54,4333,3187,39,51,35,91.9,0.2
aster,67,263,707,63,12,90,5737,96938,67,3,392195,86,90,35,74,31,29,30,57,71,89.0,0.0
idylwylde,68,265,714,63,15,88,7667,63029,65,6,313409,52,87,32,63,1923,2898,42,65,30,85.7,0.3
woodcroft,68,266,715,63,15,87,7484,75247,71,4,284403,66,87,29,54,4048,2692,42,54,39,94.5,0.0
wellington,68,267,731,62,15,85,7643,76143,70,6,262922,68,80,15,54,3534,2883,36,60,41,89.5,0.5
belvedere,68,268,736,62,15,84,8768,55888,66,6,219044,52,78,14,57,5805,3316,37,57,36,90.3,0.3
west jasper place,67,269,738,62,15,89,7713,54836,73,7,341458,33,79,16,60,3583,3991,39,59,37,91.8,0.0
rosslyn,68,270,747,61,15,85,7971,68884,68,8,255603,63,79,14,55,3376,2548,44,60,37,91.6,0.2
killarney,67,271,759,60,15,86,7913,64541,71,4,279742,37,76,14,54,4517,3300,34,49,37,93.2,0.1
delwood,67,272,762,60,15,86,7486,79514,71,7,266899,77,74,11,54,3730,2839,43,66,39,92.1,0.1
belmont,67,273,764,60,15,85,7688,77761,66,5,251318,68,79,14,54,5903,4562,36,64,41,93.2,0.1
empire park,68,274,766,60,15,84,8528,63730,74,5,214090,15,91,33,63,5808,5248,29,53,35,92.4,0.0
lee ridge,67,275,771,59,15,85,8018,71785,61,6,238536,63,82,21,57,2970,3257,35,63,41,92.1,0.3
prince charles,67,276,776,59,15,85,8018,71418,76,7,240061,53,79,16,54,1779,2184,36,52,37,91.4,0.2
high park,67,277,778,59,15,87,7228,81195,74,6,288981,71,77,8,35,1734,2459,42,61,36,91.5,0.2
queen mary park,67,279,780,59,15,86,8918,55514,82,9,203682,28,85,29,64,8311,4394,33,52,30,89.0,0.4
northmount,67,280,786,58,15,86,7932,66943,61,6,267895,78,76,14,54,3516,2837,47,68,38,92.1,0.2
hairsine,67,281,796,58,15,83,8354,71104,70,4,203756,60,79,10,55,2671,4055,35,51,39,92.5,0.0
bannerman,67,282,799,58,15,85,7654,78084,65,6,253841,65,83,12,54,3211,4406,36,58,38,93.8,0.0
balwin,67,283,800,58,15,86,8147,60844,62,6,268539,60,70,8,52,4596,3184,39,54,35,91.1,0.4
skyrattler,67,284,801,58,15,85,8340,61052,77,8,246022,41,91,33,53,2217,3579,37,63,33,91.5,0.2
homesteader,67,287,807,57,15,85,7823,75366,62,5,245867,53,80,11,60,3752,2319,34,55,41,89.7,0.7
montrose,66,288,837,54,15,85,8236,62593,70,7,251431,58,76,13,48,3276,2542,38,48,34,92.7,0.3
ermineskin,65,290,846,52,15,87,7701,68236,58,4,288497,31,88,33,51,5995,5206,39,68,35,91.2,0.2
alberta avenue,65,292,853,51,15,84,8424,63728,73,6,225742,59,77,19,49,7488,4362,37,52,37,88.8,0.1
parkdale,65,293,854,51,15,84,8614,56516,69,8,233674,50,75,19,60,3958,4136,38,48,35,89.6,0.0
spruce avenue,65,294,858,50,15,86,8016,65433,70,7,264522,43,87,23,61,1865,1653,37,47,33,91.9,0.0
overlanders,64,295,863,50,15,89,7264,69492,71,7,332357,31,78,13,66,3176,4086,33,50,40,90.0,0.0
kirkness,63,299,877,45,15,86,7005,87594,73,7,288058,61,78,15,61,4216,4510,34,61,48,91.2,0.0
glenwood,61,302,884,39,15,86,8181,58105,71,5,275819,48,80,17,59,5813,3322,41,61,37,91.8,0.3
abbottsfield,62,303,885,39,15,83,8956,54504,69,8,203549,37,78,15,44,1808,3826,32,45,38,90.1,0.4
